job_link,job_title,company_name,company_location,salary,job_type,rating,job_description,searched_job,searched_location
https://www.indeed.com/rc/clk?jk=3a9047b41601ad11&fccid=ba07516c418dda52&vjs=3,"UX Researcher, Qualitative - Generative AI",Meta,"New York, NY",184500,Full-time,4.1,"Work closely with product and business teams to identify research topics.,Act as a thought leader in the domain of research, while advocating for the people who…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=b1b60d57adfbb231&fccid=ba07516c418dda52&vjs=3,Fundamental Language Research Scientist - Generative AI,Meta,"New York, NY",173500,Not available,4.1,"Direct experience in responsible ,, , ,, and LLM research.,We are looking for recognized experts in responsible NLP, with experience in areas like…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=a0f33cc71b1751dd&fccid=ba07516c418dda52&vjs=3,"Data Scientist, Product - Generative AI",Facebook App,"New York, NY",164000,Not available,4.1,"You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Research,…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=ac4bbf72deed7e90&fccid=ba07516c418dda52&vjs=3,Product Designer - Generative AI,Meta,"New York, NY",158000,Not available,4.1,We utilize a full range of product design skills to contribute to high-level strategic decisions with the rest of the product and executive teams.,Generative AI,New York
https://www.indeed.com/rc/clk?jk=7f8e658852335ee7&fccid=ba07516c418dda52&vjs=3,"Director, Product Technical Program Management - Generative AI",Meta,"New York, NY",265000,Not available,4.1,"We are uniquely positioned to adopt an end-to-end approach to , , that few organizations can offer, through building breakthrough product experiences…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=8843a95b5eb2fa59&fccid=ba07516c418dda52&vjs=3,Product Technical Program Manager - Generative AI,Meta,"New York, NY",226000,Not available,4.1,Product TPMs work at the cross-section between technical execution and business strategy and are expected to partner closely with Engineering and Product teams.,Generative AI,New York
https://www.indeed.com/rc/clk?jk=83f2d11be1c9e2aa&fccid=ba07516c418dda52&vjs=3,"Software Engineer, Product - Generative AI",Meta,"New York, NY",207000,Not available,4.1,"Full stack web/mobile application development with a variety of coding languages.,Create consumer products and features using internal programming language Hack…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=faae7b1a531ff069&fccid=62c52ec5b3659e91&vjs=3,Equity Research Analyst (Generative AI),Needham & Company,"New York, NY",Not available,Not available,4,"The ideal candidate will have a minimum of 5 years of finance or industry experience in sectors that include: Machine Learning, Data Science, and Artificial…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=97bfaa0dc619a04e&fccid=ba07516c418dda52&vjs=3,"Software Engineer, Machine Learning - Generative AI",Meta,"New York, NY",136000,Not available,4.1,"The ideal candidate will have industry experience working on a range of classification and optimization problems, e.g. payment fraud, click-through rate…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=a1883817739740f1&fccid=1d7146bd38091a7a&vjs=3,Engineering Manager,Duolingo,"New York, NY",255250,Not available,4.1,"We rely on sophisticated in-house tools and new technologies such as , , and automated feedback systems to build learning content at scale.",Generative AI,New York
https://www.indeed.com/rc/clk?jk=3ef374dba7ac085a&fccid=1d7146bd38091a7a&vjs=3,Director of Product,Duolingo,"New York, NY",266500,Not available,4.1,"Be responsible for building AI-first learning features using , AI.,Drive strategy for a product or product area.",Generative AI,New York
https://www.indeed.com/rc/clk?jk=c1240bd1a72325c9&fccid=a5b4499d9e91a5c6&vjs=3,"Product Marketing Manager, Google Photos, Platforms and Ecosystems",Google,"New York, NY",Not available,Full-time,4.3,"Bachelor's degree or equivalent practical experience.,6 years of experience in marketing.,Knowledge of product marketing with a track record in launching…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=db8f88bbae2107f2&fccid=30583c597533e1c2&vjs=3,KM & Innovation Legal Assistant,"Paul, Weiss, Rifkind, Wharton & Garrison LLP","New York, NY 10019",57500,Extended hours,4.1,"Continually work to improve the design and functioning of resources, including incorporating , artificial intelligence (AI) technologies and suggesting…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=2f674be6f9d68eeb&fccid=5e964c4afc56b180&vjs=3,Digital Contact Solutions Manager,PRICE WATERHOUSE COOPERS,"New York, NY",178000,Not available,3.9,"We focus on a collection of organisational technology capabilities, including business intelligence, data management, and data assurance that help our clients…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=ad67ee6299a2323c&fccid=1d7146bd38091a7a&vjs=3,Senior Director of Product,Duolingo,"New York, NY",258400,Not available,4.1,"Be responsible for building AI-first learning features using , AI.,Drive strategy for a product or product area.",Generative AI,New York
https://www.indeed.com/rc/clk?jk=30ab901a28d55d6d&fccid=16a97ed26c75bf2d&vjs=3,"Lead Software Engineer, VP - App Foundry Engineering (New York, NY)",Goldman Sachs,"New York, NY 10282",Not available,Full-time,3.9,"We are looking for a Lead Engineer for implementing and operating , , technologies applied to developer productivity e.g. GitHub Copilot, Amazon…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=5a3ce6dfc3cd737e&fccid=30aa2c54dfe7480c&vjs=3,"Sr. Machine Learning Engineer, Content Discovery",Quizlet,"New York, NY",210000,Full-time,4.8,"While you are currently permitted to work remotely in New York and the San Francisco Bay Area, you must remain able to work in the office as business needs…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=07ac710bd7b2d735&fccid=9784ae78e9834539&vjs=3,Senior Product Manager - Segmentation (Mailchimp),Intuit,"Hybrid remote in Brooklyn, NY 11238",149500,Not available,4.2,"Knowledge of how marketing campaigns work, including content generation as well as the potential applications of , , to these tasks.",Generative AI,New York
https://www.indeed.com/rc/clk?jk=5a51e1ea3b7efd5f&fccid=b716e44d2c6283e7&vjs=3,Global Head of Advanced Analytics & Automation,S&P Global,"New York, NY 10041",206750,Not available,3.9,"Experience with NLP platforms & familiarity with , , and Large Language Models (LLMs).,This role will be responsible for driving key automation &…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=1aef27cadda2363f&fccid=1ae48412754511fd&vjs=3,"Director, Product Management",Annalect,"New York, NY 11211",144500,Not available,2.9,"Our advanced teams of product leaders, data scientists, consultants, and engineers enable us to meet the business goals of our internal and external clients.",Generative AI,New York
https://www.indeed.com/rc/clk?jk=0541ca3a7f475ceb&fccid=f3a36f726f745c17&vjs=3,"Business Intelligence Manager, Finance",Faire,"New York, NY",174500,Not available,4.2,"We are looking for an experienced Business Intelligence Data Manager to scale a critically important function responsible for building and maintaining systems,…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=4042bf46f5ce74fc&fccid=28eefc5b86560831&vjs=3,Director-Data Scientist,Moody's,"New York, NY 10001",218625,Full-time,3.6,"Strong background in , ,, with a focus on large language models and natural language processing.,Conduct research in , ,, with a focus on…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=3667f37558a0f319&fccid=d09448ca8fecea9f&vjs=3,Research Scientist (Computer Vision) - Remote,Reality Defender,"Hybrid remote in New York, NY",Not available,Full-time,Not available,"Propose and publish novel solutions to improve , , detection.,You’d work on product-oriented research for , image and video detection, and…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=ac452cee0ed5b723&fccid=aaf3b433897ea465&vjs=3,"VP, Data Product Manager","JPMorgan Chase Bank, N.A.","Brooklyn, NY",164250,Full-time,3.8,"Act as a strategic advisor, taking a long view on the implementation of technologies such as cloud platforms, hyperscale data lake tools, , ,, and…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=5ea3b1a4a3e66547&fccid=76e27e1f2b0497f5&vjs=3,Senior Clinical Analytics Consultant (Signals/Informatics),Revvity,"Remote in Albany, NY",Not available,Full-time,5,"The Senior Clinical Analytics Consultant in Revvity Signals Software, formerly Informatics PerkinElmer, will drive a high-performing team together with the CTL …",Generative AI,New York
https://www.indeed.com/rc/clk?cmp=Acunor-Infotech&ti=Competency+Leader+-+Generative+Ai&jk=3378806da7a21b0c&fccid=2b34938819ebd78b&vjs=3,Competency Leader - Generative AI,Acunor infotech,"Remote in Andes, NY 13731",210000,Full-time,Not available,"15+ years of experience in , ,, including hands-on experience with state-of-the-art , models and techniques.",Generative AI,New York
https://www.indeed.com/company/SPYSCAPE/jobs/Facilitator-02d9b94c9a8db8d0?fccid=6496e83f716416eb&vjs=3,AI Workshop Facilitator,SPYSCAPE,"New York, NY 10019",93600,Contract,2.6,"The , Workshop Facilitator will be responsible for hosting a weekly introductory session on , , tools at our HQ in midtown Manhattan.",Generative AI,New York
https://www.indeed.com/rc/clk?jk=9f2f3fa873fe7865&fccid=14a5422bd03f94b7&vjs=3,"AI Founder, Climate Tech",Forum Ventures,"Remote in Manhattan, NY 10001",109900,Not available,Not available,"Executing a winning GTM strategy to get you to 50-100K ARR, and the right MVP to ensure early traction.,A community full of mentors, peers, and leaders.",Generative AI,New York
https://www.indeed.com/rc/clk?jk=ed9fdc7617e6a307&fccid=4eacfef094c1e91a&vjs=3,AI Training for Ukrainian Writers,Scale AI,"Remote in New York, NY",37440,Choose your own hours,2.3,"Work on various writing in Ukrainian projects to train , , models.,Enrollment or completion of an undergraduate program in a humanities field or field…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=1ea7b40f9479a041&fccid=dd616958bd9ddc12&vjs=3,AI Research Resident,Normal Computing Corporation,"Remote in New York, NY",Not available,Full-time,Not available,"Experience with modern , methods, such as probabilistic ML, Bayesian reasoning, sampling algorithms, and , , models.",Generative AI,New York
https://www.indeed.com/company/NLB-Technology-Services/jobs/Architect-37239ef53504b1ab?fccid=b3fc027da382dafc&vjs=3,AI Architect,NLB Technology Services,"Andes, NY 13731",141500,Full-time,Not available,"NOTE- Need candidate with , , models and Chatgpt experience.,May L1 Reject profile feedback helps - He has worked only with low code environment ,…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=b2189044de432d88&fccid=37a7d9e7cd19aad7&vjs=3,"AI Scientist, Deep Learning",Absci,"Remote in New York, NY",165000,Not available,1.7,"Design, implement and evaluate cutting-edge , models for protein design.,Hands-on experience developing deep , models for language modeling or…",Generative AI,New York
https://www.indeed.com/company/Grand-Central-Ventures/jobs/Sales-Support-Representative-d961e08f3db3971a?fccid=b58ecd86db583214&vjs=3,"Legal AI Writer, Sales, and Client Support (mostly remote)",CereBel Legal Intelligence,"Remote in New York, NY",50876.5,Part-time,Not available,"We deliver easy-to-use cloud software that generates Deposition Reports, produces Document Summaries, and enables highly accurate Natural Language Searches of…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=85310c44fc086580&fccid=ef706d6bb1254bcf&vjs=3,Sr. Engineering Manager - AI & Search Platform,AlphaSense,"New York, NY 10003",225000,Not available,3.3,"An advanced degree in Computer Science or related fields.,Strong technical leadership in a cross-functional and distributed team environment.",Generative AI,New York
https://www.indeed.com/rc/clk?jk=29c6029269c54297&fccid=c00dc99fac49dfcf&vjs=3,Data Analyst,Simulmedia,"New York, NY 10012",94100,Full-time,3.3,"Enthusiasm for , ,, large language models (LLMs), and conversational interfaces.,Explore and integrate , , technologies, such as GPT4, to…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=216d700c5385ecfc&fccid=521ca7ccc49e32d5&vjs=3,AI Engineer 2023-5-24,Kasisto,"New York, NY 10010",161000,Not available,4.5,"Kasisto is the leader in conversational , for financial institutions, with a mission to humanize digital experiences.,What you need for this position.",Generative AI,New York
https://www.indeed.com/rc/clk?jk=5dfb7f0c71f600cb&fccid=e5b5c289543e7bff&vjs=3,"Enterprise Sales Executive, BFSI",SambaNova Systems,"Remote in New York, NY",170000,Not available,Not available,"This individual will be responsible for the large regional Financial Services companies in the East and Southeast, as well as the leading Insurance companies…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=cbf11459f5469d73&fccid=5c80575a010bbc63&vjs=3,Legal Operations Analyst,MongoDB,"Remote in New York, NY 10019",92100,Full-time,3.6,"In this role, you'll be responsible for growing the legal operations function, including developing processes and implementing solutions to improve the day-to…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=1aad19a227a68708&fccid=cee0e623e5fa16cf&vjs=3,"Applied Scientist, Machine Learning",Captions,"New York, NY 10022",190000,Full-time,Not available,"Experience with deep learning models, including , and diffusion models.,Create models that shape the future of video software.",Generative AI,New York
https://www.indeed.com/rc/clk?jk=6daefb10acd73172&fccid=3dca16b836aab3f7&vjs=3,Mid-Market Account Executive - New York,Aisera,"Remote in New York, NY",Not available,Not available,Not available,"Aisera is the , , space focused on creating a ChatGPT experience for Enterprise applications.,Aisera fast tracks the digital transformation journey…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=58bf59a5e0269142&fccid=521ca7ccc49e32d5&vjs=3,Enterprise Account Executive,Kasisto,"Hybrid remote in New York, NY 10010",150000,Not available,4.5,"Our Digital Experience Platform, KAI, is designed to enable financial institutions to offer personalized and intelligent digital assistants to their consumers,…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=b136a8b398c13476&fccid=78509d9530efbd99&vjs=3,VP of Data Science,SecurityScorecard,"Remote in New York, NY",199000,Not available,4.4,"The Head of Data Science is a leadership role responsible for developing and the ongoing operation of the company's tools, technologies, and technical solutions…",Generative AI,New York
https://www.indeed.com/rc/clk?jk=8d6dd8909099c0bc&fccid=3dca16b836aab3f7&vjs=3,Enterprise Account Executive - New York,Aisera,"Remote in New York, NY",Not available,Not available,Not available,"Aisera is the , , space focused on creating a ChatGPT experience for Enterprise applications.,Aisera fast tracks the digital transformation journey…",Generative AI,New York
https://www.indeed.com/company/Grand-Central-Ventures/jobs/Sales-3ac70b26d0111877?fccid=b58ecd86db583214&vjs=3,Legal Artificial Intelligence Sales,CereBel Legal Intelligence,"Hybrid remote in New York, NY 10016",75149.5,Part-time,Not available,"Develop and Execute Sales & Marketing program for start-up , Legal Software Venture.,CereBel Legal Intelligence is among the first dedicated Legal , software…",Generative AI,New York
